GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD05,HD02_VD05,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:
9700000US4212170,4212170,"Interboro School District, Pennsylvania",23605,24,21464,515,916,263,432,199,712,335
9700000US4212210,4212210,"Iroquois School District, Pennsylvania",7278,39,6927,220,105,127,85,104,133,99
9700000US4212300,4212300,"Jamestown Area School District, Pennsylvania",4502,314,4448,308,0,10,0,10,51,35
9700000US4212330,4212330,"Jeannette City School District, Pennsylvania",9530,53,8424,273,516,195,46,42,484,262
9700000US4212390,4212390,"Jefferson-Morgan School District, Pennsylvania",6084,213,5788,243,213,181,42,54,41,29
9700000US4212420,4212420,"Jenkintown School District, Pennsylvania",4426,33,4109,150,154,113,17,28,90,73
9700000US4212480,4212480,"Jersey Shore Area School District, Pennsylvania",18674,544,18435,545,58,35,30,21,111,64
9700000US4212540,4212540,"Jim Thorpe Area School District, Pennsylvania",15796,263,14689,375,364,188,195,122,235,124
9700000US4212570,4212570,"Johnsonburg Area School District, Pennsylvania",4708,230,4671,230,10,15,22,32,0,10
9700000US4212600,4212600,"Juniata County School District, Pennsylvania",24081,113,23442,132,206,59,93,23,174,47
9700000US4212630,4212630,"Juniata Valley School District, Pennsylvania",5349,266,5297,263,4,8,24,18,16,14
9700000US4212660,4212660,"Kane Area School District, Pennsylvania",7377,222,7160,251,1,2,32,32,146,142
9700000US4212690,4212690,"Kennett Consolidated School District, Pennsylvania",27277,282,25027,624,762,286,371,166,591,275
9700000US4212720,4212720,"Keystone School District, Pennsylvania",7508,289,7433,281,31,36,9,11,35,21
9700000US4212725,4212725,"Keystone Central School District, Pennsylvania",37114,441,35762,424,548,109,138,67,569,117
9700000US4212750,4212750,"Keystone Oaks School District, Pennsylvania",20676,202,19268,449,281,112,769,403,313,169
9700000US4212840,4212840,"Kiski Area School District, Pennsylvania",28841,324,27816,456,733,243,41,42,197,101
9700000US4212930,4212930,"Kutztown Area School District, Pennsylvania",18719,220,17246,415,634,159,148,86,274,153
9700000US4212990,4212990,"Lackawanna Trail School District, Pennsylvania",8741,419,8533,423,84,37,25,21,66,35
9700000US4213020,4213020,"Lake-Lehman School District, Pennsylvania",16973,244,15346,307,1162,124,70,51,184,72
9700000US4213050,4213050,"Lakeland School District, Pennsylvania",12437,325,12177,337,51,34,56,50,150,104
9700000US4213080,4213080,"Lakeview School District, Pennsylvania",8459,262,8341,257,28,22,4,6,79,38
9700000US4213110,4213110,"Lampeter-Strasburg School District, Pennsylvania",22941,158,21981,396,284,231,246,189,380,242
