GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02
Id,Id2,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households
9700000US4217310,4217310,"North Pocono School District, Pennsylvania",7812,261,59781,3811
9700000US4217370,4217370,"Northampton Area School District, Pennsylvania",16191,341,61933,3253
9700000US4217430,4217430,"Riverside Beaver County School District, Pennsylvania",4198,203,53500,6416
9700000US4217460,4217460,"Northeast Bradford School District, Pennsylvania",2115,92,46319,3313
9700000US4217520,4217520,"Northeastern York School District, Pennsylvania",8689,307,60410,3759
9700000US4217580,4217580,"Northern Bedford County School District, Pennsylvania",2476,86,52031,2285
9700000US4217610,4217610,"Northern Cambria School District, Pennsylvania",3193,115,43074,3680
9700000US4217640,4217640,"Northern Lebanon School District, Pennsylvania",6492,187,61409,3212
9700000US4217670,4217670,"Northern Lehigh School District, Pennsylvania",5127,137,56358,4729
9700000US4217700,4217700,"Northern Potter School District, Pennsylvania",1764,85,40125,2601
9700000US4217730,4217730,"Northern Tioga School District, Pennsylvania",6006,199,41619,1548
9700000US4217760,4217760,"Northern York County School District, Pennsylvania",8373,236,66805,3151
9700000US4217770,4217770,"Northgate School District, Pennsylvania",6553,209,38118,3296
9700000US4217790,4217790,"Northwest Area School District, Pennsylvania",3447,100,51088,3501
9700000US4217850,4217850,"Northwestern Lehigh School District, Pennsylvania",5704,164,75618,5020
9700000US4217880,4217880,"Northwestern School District, Pennsylvania",3875,158,48174,2494
9700000US4217940,4217940,"Norwin School District, Pennsylvania",14385,280,61902,3796
9700000US4218030,4218030,"Octorara Area School District, Pennsylvania",6075,211,64389,3041
9700000US4218090,4218090,"Oil City Area School District, Pennsylvania",6051,173,38255,2479
9700000US4218120,4218120,"Old Forge School District, Pennsylvania",3695,206,49347,5495
9700000US4218150,4218150,"Oley Valley School District, Pennsylvania",5129,207,71556,4822
9700000US4218210,4218210,"Oswayo Valley School District, Pennsylvania",1277,84,40804,3111
9700000US4218240,4218240,"Otto-Eldred School District, Pennsylvania",1720,94,43351,3576
9700000US4218270,4218270,"Owen J. Roberts School District, Pennsylvania",12221,273,84130,4517
9700000US4218300,4218300,"Oxford Area School District, Pennsylvania",7775,272,67331,4906
