GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01
Id,Id2,Geography,Total; Estimate; Total civilian noninstitutionalized population,Total; Margin of Error; Total civilian noninstitutionalized population,With a disability; Estimate; Total civilian noninstitutionalized population,With a disability; Margin of Error; Total civilian noninstitutionalized population,Percent with a disability; Estimate; Total civilian noninstitutionalized population,Percent with a disability; Margin of Error; Total civilian noninstitutionalized population
9700000US4218210,4218210,"Oswayo Valley School District, Pennsylvania",3125,247,600,106,19.2,3.2
9700000US4218240,4218240,"Otto-Eldred School District, Pennsylvania",4089,255,661,106,16.2,2.6
9700000US4218270,4218270,"Owen J. Roberts School District, Pennsylvania",32447,324,2882,414,8.9,1.2
9700000US4218300,4218300,"Oxford Area School District, Pennsylvania",25722,261,1873,197,7.3,0.8
9700000US4218330,4218330,"Palisades School District, Pennsylvania",14885,126,1399,260,9.4,1.7
9700000US4218360,4218360,"Palmerton Area School District, Pennsylvania",14015,204,2301,380,16.4,2.7
9700000US4218390,4218390,"Palmyra Area School District, Pennsylvania",22340,101,3123,412,14.0,1.8
9700000US4218450,4218450,"Panther Valley School District, Pennsylvania",12384,242,2631,370,21.2,3.0
9700000US4218510,4218510,"Parkland School District, Pennsylvania",55158,250,5535,472,10.0,0.9
9700000US4218570,4218570,"Pen Argyl Area School District, Pennsylvania",12409,34,1728,232,13.9,1.9
9700000US4218580,4218580,"Penn-Delco School District, Pennsylvania",26922,133,3017,368,11.2,1.4
9700000US4218590,4218590,"Penn Hills School District, Pennsylvania",42310,149,7021,566,16.6,1.3
9700000US4218630,4218630,"Penn Manor School District, Pennsylvania",41518,89,4334,457,10.4,1.1
9700000US4218660,4218660,"Penn-Trafford School District, Pennsylvania",25547,396,2935,334,11.5,1.3
9700000US4218740,4218740,"Penncrest School District, Pennsylvania",23222,466,3353,181,14.4,0.8
9700000US4218750,4218750,"Pennridge School District, Pennsylvania",48616,299,4626,498,9.5,1.0
9700000US4218780,4218780,"Penns Manor Area School District, Pennsylvania",5753,250,959,124,16.7,2.0
9700000US4218810,4218810,"Penns Valley Area School District, Pennsylvania",12649,377,1663,235,13.1,1.9
9700000US4218840,4218840,"Pennsbury School District, Pennsylvania",70892,231,6695,524,9.4,0.7
9700000US4218900,4218900,"Pequea Valley School District, Pennsylvania",21550,41,1760,247,8.2,1.2
