GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC05_EST_VC01,HC05_MOE_VC01
Id,Id2,Geography,Total; Estimate; Total civilian noninstitutionalized population,Total; Margin of Error; Total civilian noninstitutionalized population,Number Uninsured; Estimate; Total civilian noninstitutionalized population,Number Uninsured; Margin of Error; Total civilian noninstitutionalized population,Percent Uninsured; Estimate; Total civilian noninstitutionalized population,Percent Uninsured; Margin of Error; Total civilian noninstitutionalized population,Number Insured by  Coverage Type; Estimate; Total civilian noninstitutionalized population,Number Insured by  Coverage Type; Margin of Error; Total civilian noninstitutionalized population,Percent Insured by  Coverage Type; Estimate; Total civilian noninstitutionalized population,Percent Insured by  Coverage Type; Margin of Error; Total civilian noninstitutionalized population
9700000US4207680,4207680,"Dover Area School District, Pennsylvania",25683,299,2597,432,10.1,1.7,23086,494,89.9,1.7
9700000US4207710,4207710,"Downingtown Area School District, Pennsylvania",68868,135,2953,560,4.3,0.8,65915,561,95.7,0.8
9700000US4207830,4207830,"DuBois Area School District, Pennsylvania",30390,341,3540,538,11.6,1.8,26850,583,88.4,1.8
9700000US4207980,4207980,"Dunmore School District, Pennsylvania",13906,96,829,263,6.0,1.9,13077,277,94.0,1.9
9700000US4208010,4208010,"Duquesne City School District, Pennsylvania",5575,27,608,142,10.9,2.5,4967,145,89.1,2.5
9700000US4208060,4208060,"East Allegheny School District, Pennsylvania",14912,378,1515,250,10.2,1.6,13397,371,89.8,1.6
9700000US4208280,4208280,"Forest Area School District, Pennsylvania",5267,1069,552,275,10.5,3.3,4715,817,89.5,3.3
9700000US4208460,4208460,"Eastern Lebanon County School District, Pennsylvania",20793,237,3425,514,16.5,2.5,17368,570,83.5,2.5
9700000US4208490,4208490,"East Lycoming School District, Pennsylvania",10156,310,769,140,7.6,1.3,9387,314,92.4,1.3
9700000US4208550,4208550,"East Penn School District, Pennsylvania",54694,224,3975,660,7.3,1.2,50719,682,92.7,1.2
9700000US4208580,4208580,"East Pennsboro Area School District, Pennsylvania",20005,213,1598,437,8.0,2.2,18407,551,92.0,2.2
9700000US4208670,4208670,"East Stroudsburg Area School District, Pennsylvania",47548,182,6162,778,13.0,1.6,41386,786,87.0,1.6
9700000US4208790,4208790,"Eastern York School District, Pennsylvania",19913,323,1526,354,7.7,1.8,18387,459,92.3,1.8
9700000US4208820,4208820,"Eastern Lancaster County School District, Pennsylvania",32200,219,7826,954,24.3,3.0,24374,984,75.7,3.0
9700000US4208850,4208850,"Easton Area School District, Pennsylvania",62458,400,6297,690,10.1,1.1,56161,811,89.9,1.1
9700000US4209090,4209090,"Elizabeth Forward School District, Pennsylvania",18002,90,1203,261,6.7,1.4,16799,272,93.3,1.4
9700000US4209120,4209120,"Elizabethtown Area School District, Pennsylvania",29348,533,1968,478,6.7,1.6,27380,620,93.3,1.6
9700000US4209150,4209150,"Elk Lake School District, Pennsylvania",7899,356,970,139,12.3,1.6,6929,332,87.7,1.6
9700000US4209240,4209240,"Ellwood City Area School District, Pennsylvania",13996,272,1440,267,10.3,1.9,12556,369,89.7,1.9
9700000US4209270,4209270,"Ephrata Area School District, Pennsylvania",33195,72,4514,647,13.6,1.9,28681,649,86.4,1.9
9700000US4209300,4209300,"Erie City School District, Pennsylvania",99567,201,10779,813,10.8,0.8,88788,838,89.2,0.8
9700000US4209360,4209360,"Everett Area School District, Pennsylvania",9430,371,1184,211,12.6,2.1,8246,371,87.4,2.1
9700000US4209480,4209480,"Exeter Township School District, Pennsylvania",27066,148,1575,308,5.8,1.1,25491,334,94.2,1.1
9700000US4209540,4209540,"Fairfield Area School District, Pennsylvania",7904,207,505,109,6.4,1.4,7399,218,93.6,1.4
