GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Occupied,Margin of Error; Total: - Occupied,Estimate; Total: - Vacant,Margin of Error; Total: - Vacant
9700000US4213080,4213080,"Lakeview School District, Pennsylvania",3803,95,3351,104,452,64
9700000US4213110,4213110,"Lampeter-Strasburg School District, Pennsylvania",8987,308,8671,290,316,186
9700000US4213140,4213140,"Lancaster School District, Pennsylvania",30799,620,28559,645,2240,348
9700000US4213290,4213290,"Homer-Center School District, Pennsylvania",2773,143,2588,143,185,100
9700000US4213320,4213320,"Laurel Highlands School District, Pennsylvania",10411,305,9544,275,867,241
9700000US4213380,4213380,"Laurel School District, Pennsylvania",3410,128,3095,123,315,98
9700000US4213440,4213440,"Lebanon School District, Pennsylvania",11405,328,10311,361,1094,237
9700000US4213470,4213470,"Leechburg Area School District, Pennsylvania",2867,107,2639,116,228,85
9700000US4213500,4213500,"Lehighton Area School District, Pennsylvania",7697,243,7018,253,679,194
9700000US4213590,4213590,"Lewisburg Area School District, Pennsylvania",6723,364,6171,317,552,214
9700000US4213710,4213710,"Ligonier Valley School District, Pennsylvania",8204,242,6864,215,1340,162
9700000US4213770,4213770,"Penn Cambria School District, Pennsylvania",5857,234,5234,228,623,105
9700000US4213980,4213980,"Littlestown Area School District, Pennsylvania",5915,230,5663,209,252,107
9700000US4214100,4214100,"Lower Dauphin School District, Pennsylvania",10005,290,9422,275,583,197
9700000US4214160,4214160,"Lower Merion School District, Pennsylvania",25798,420,23957,368,1841,286
9700000US4214190,4214190,"Lower Moreland Township School District, Pennsylvania",4673,168,4524,154,149,75
9700000US4214250,4214250,"Methacton School District, Pennsylvania",12899,327,12251,336,648,193
9700000US4214310,4214310,"Loyalsock Township School District, Pennsylvania",5402,241,5125,213,277,130
9700000US4214430,4214430,"Mahanoy Area School District, Pennsylvania",4214,220,3319,200,895,175
9700000US4214460,4214460,"Line Mountain School District, Pennsylvania",4211,115,3634,135,577,96
9700000US4214550,4214550,"Manheim Central School District, Pennsylvania",9731,291,9415,250,316,161
9700000US4214580,4214580,"Manheim Township School District, Pennsylvania",15900,361,15243,324,657,223
9700000US4214730,4214730,"Marion Center Area School District, Pennsylvania",4318,154,3841,138,477,82
9700000US4214760,4214760,"Marple Newtown School District, Pennsylvania",13726,321,12925,308,801,200
9700000US4214790,4214790,"Mars Area School District, Pennsylvania",7940,275,7464,266,476,201
9700000US4214850,4214850,"Central Fulton School District, Pennsylvania",3138,70,2618,89,520,81
9700000US4214880,4214880,"McGuffey School District, Pennsylvania",5317,125,4910,142,407,97
9700000US4214940,4214940,"McKeesport Area School District, Pennsylvania",16059,380,13871,396,2188,245
9700000US4215030,4215030,"Mechanicsburg Area School District, Pennsylvania",12019,370,11585,351,434,163
9700000US4215120,4215120,"Mercer Area School District, Pennsylvania",4105,133,3747,143,358,79
9700000US4215150,4215150,"Meyersdale Area School District, Pennsylvania",3273,72,2722,99,551,98
9700000US4215170,4215170,"Mid Valley School District, Pennsylvania",7347,244,6621,222,726,218
9700000US4215210,4215210,"Midd-West School District, Pennsylvania",7173,191,6404,195,769,104
9700000US4215240,4215240,"Middletown Area School District, Pennsylvania",8103,275,7336,286,767,220
9700000US4215270,4215270,"Midland Borough School District, Pennsylvania",1368,141,1130,110,238,118
9700000US4215290,4215290,"Mifflin County School District, Pennsylvania",19939,195,17446,360,2493,328
9700000US4215330,4215330,"Millcreek Township School District, Pennsylvania",23739,417,22326,395,1413,308
9700000US4215360,4215360,"Millersburg Area School District, Pennsylvania",3190,215,2930,184,260,124
9700000US4215450,4215450,"Millville Area School District, Pennsylvania",2443,77,2258,74,185,55
9700000US4215480,4215480,"Milton Area School District, Pennsylvania",7761,286,7150,238,611,185
9700000US4215510,4215510,"Minersville Area School District, Pennsylvania",4440,167,3829,148,611,156
9700000US4215540,4215540,"Mohawk Area School District, Pennsylvania",4682,153,4275,149,407,110
9700000US4215600,4215600,"Monessen City School District, Pennsylvania",4345,222,3603,201,742,167
9700000US4215660,4215660,"Montgomery Area School District, Pennsylvania",2555,119,2305,135,250,65
9700000US4215720,4215720,"Montour School District, Pennsylvania",11942,268,11166,226,776,215
9700000US4215750,4215750,"Montoursville Area School District, Pennsylvania",6170,219,5562,218,608,137
9700000US4215810,4215810,"Montrose Area School District, Pennsylvania",6156,140,4813,164,1343,116
9700000US4215830,4215830,"Moon Area School District, Pennsylvania",11526,392,10913,371,613,222
9700000US4215900,4215900,"Morrisville Borough School District, Pennsylvania",3940,286,3586,262,354,144
9700000US4215960,4215960,"Moshannon Valley School District, Pennsylvania",3335,146,2696,159,639,78
9700000US4215990,4215990,"Mount Carmel Area School District, Pennsylvania",7098,242,5750,237,1348,220
9700000US4216020,4216020,"Mount Union Area School District, Pennsylvania",5165,203,4063,195,1102,115
9700000US4216050,4216050,"Mountain View School District, Pennsylvania",4536,127,3492,145,1044,116
9700000US4216110,4216110,"Mt. Lebanon School District, Pennsylvania",14520,327,13920,323,600,188
9700000US4216170,4216170,"Mount Pleasant Area School District, Pennsylvania",8632,256,7628,231,1004,193
9700000US4216200,4216200,"Muhlenberg School District, Pennsylvania",9900,241,9382,221,518,182
9700000US4216230,4216230,"Muncy School District, Pennsylvania",3180,170,2983,168,197,101
9700000US4216290,4216290,"Greater Nanticoke Area School District, Pennsylvania",9155,318,7814,292,1341,213
9700000US4216380,4216380,"Nazareth Area School District, Pennsylvania",10403,227,9948,217,455,212
9700000US4216410,4216410,"Neshaminy School District, Pennsylvania",26973,466,25311,441,1662,343
9700000US4216440,4216440,"Neshannock Township School District, Pennsylvania",4614,179,4326,190,288,140
9700000US4216500,4216500,"Woodland Hills School District, Pennsylvania",26387,592,22048,536,4339,428
9700000US4216530,4216530,"New Brighton Area School District, Pennsylvania",5202,230,4676,204,526,139
9700000US4216620,4216620,"New Castle Area School District, Pennsylvania",11859,316,10106,310,1753,238
9700000US4216740,4216740,"New Kensington-Arnold School District, Pennsylvania",9820,319,8270,257,1550,212
9700000US4216860,4216860,"New Hope-Solebury School District, Pennsylvania",5354,206,4673,149,681,173
9700000US4216890,4216890,"Newport School District, Pennsylvania",3433,87,3119,111,314,78
9700000US4216980,4216980,"Norristown Area School District, Pennsylvania",28838,568,25802,520,3036,379
9700000US4217010,4217010,"North Allegheny School District, Pennsylvania",20528,366,19158,392,1370,312
9700000US4217100,4217100,"Moniteau School District, Pennsylvania",4007,142,3681,128,326,87
9700000US4217130,4217130,"North Clarion County School District, Pennsylvania",3404,79,1945,96,1459,103
9700000US4217160,4217160,"North East School District, Pennsylvania",4259,160,4068,153,191,100
9700000US4217220,4217220,"North Hills School District, Pennsylvania",18200,320,17012,334,1188,244
