GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Owner occupied,Margin of Error; Total: - Owner occupied,Estimate; Total: - Renter occupied,Margin of Error; Total: - Renter occupied
9700000US4211760,4211760,"Hempfield Area School District, Pennsylvania",20418,490,16081,465,4337,388
9700000US4211790,4211790,"Hempfield School District, Pennsylvania",18514,341,14603,414,3911,366
9700000US4211820,4211820,"Hermitage School District, Pennsylvania",7237,239,5259,237,1978,200
9700000US4211880,4211880,"Highlands School District, Pennsylvania",8764,247,5642,317,3122,300
9700000US4211940,4211940,"Hollidaysburg Area School District, Pennsylvania",11301,292,8449,385,2852,314
9700000US4212030,4212030,"Hopewell Area School District, Pennsylvania",7485,203,6208,233,1277,200
9700000US4212090,4212090,"Huntingdon Area School District, Pennsylvania",6866,257,4898,258,1968,227
9700000US4212150,4212150,"Indiana Area School District, Pennsylvania",12837,450,7174,341,5663,414
9700000US4212170,4212170,"Interboro School District, Pennsylvania",9376,297,6317,293,3059,275
9700000US4212210,4212210,"Iroquois School District, Pennsylvania",2684,136,2112,176,572,101
9700000US4212300,4212300,"Jamestown Area School District, Pennsylvania",1794,103,1516,86,278,70
9700000US4212330,4212330,"Jeannette City School District, Pennsylvania",4448,203,2842,199,1606,194
9700000US4212390,4212390,"Jefferson-Morgan School District, Pennsylvania",2529,115,2047,120,482,111
9700000US4212420,4212420,"Jenkintown School District, Pennsylvania",1936,128,1350,174,586,145
9700000US4212480,4212480,"Jersey Shore Area School District, Pennsylvania",7068,228,5501,254,1567,167
9700000US4212540,4212540,"Jim Thorpe Area School District, Pennsylvania",5914,294,4949,316,965,226
9700000US4212570,4212570,"Johnsonburg Area School District, Pennsylvania",2061,122,1614,131,447,80
9700000US4212600,4212600,"Juniata County School District, Pennsylvania",9027,207,6867,220,2160,218
9700000US4212630,4212630,"Juniata Valley School District, Pennsylvania",2155,98,1756,97,399,62
9700000US4212660,4212660,"Kane Area School District, Pennsylvania",3239,147,2346,150,893,137
9700000US4212690,4212690,"Kennett Consolidated School District, Pennsylvania",9786,330,6807,299,2979,293
9700000US4212720,4212720,"Keystone School District, Pennsylvania",3050,101,2432,93,618,78
9700000US4212725,4212725,"Keystone Central School District, Pennsylvania",14064,269,9958,260,4106,267
9700000US4212750,4212750,"Keystone Oaks School District, Pennsylvania",9632,252,6139,265,3493,280
9700000US4212840,4212840,"Kiski Area School District, Pennsylvania",11943,256,9351,300,2592,228
9700000US4212930,4212930,"Kutztown Area School District, Pennsylvania",5898,291,4313,290,1585,176
9700000US4212990,4212990,"Lackawanna Trail School District, Pennsylvania",3274,128,2691,131,583,78
9700000US4213020,4213020,"Lake-Lehman School District, Pennsylvania",5848,182,5086,195,762,115
9700000US4213050,4213050,"Lakeland School District, Pennsylvania",5148,180,4245,207,903,139
9700000US4213080,4213080,"Lakeview School District, Pennsylvania",3351,104,2823,102,528,66
9700000US4213110,4213110,"Lampeter-Strasburg School District, Pennsylvania",8671,290,6341,290,2330,309
9700000US4213140,4213140,"Lancaster School District, Pennsylvania",28559,645,13382,607,15177,649
9700000US4213290,4213290,"Homer-Center School District, Pennsylvania",2588,143,1998,174,590,145
9700000US4213320,4213320,"Laurel Highlands School District, Pennsylvania",9544,275,6738,300,2806,325
9700000US4213380,4213380,"Laurel School District, Pennsylvania",3095,123,2583,152,512,101
9700000US4213440,4213440,"Lebanon School District, Pennsylvania",10311,361,4706,308,5605,360
9700000US4213470,4213470,"Leechburg Area School District, Pennsylvania",2639,116,2062,121,577,96
9700000US4213500,4213500,"Lehighton Area School District, Pennsylvania",7018,253,5339,271,1679,204
9700000US4213590,4213590,"Lewisburg Area School District, Pennsylvania",6171,317,3936,325,2235,240
9700000US4213710,4213710,"Ligonier Valley School District, Pennsylvania",6864,215,5489,214,1375,163
9700000US4213770,4213770,"Penn Cambria School District, Pennsylvania",5234,228,4071,184,1163,126
