GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Hispanic or Latino,Margin of Error; Total: - Hispanic or Latino
9700000US4217790,4217790,"Northwest Area School District, Pennsylvania",9156,318,116,49
9700000US4217850,4217850,"Northwestern Lehigh School District, Pennsylvania",14925,142,293,145
9700000US4217880,4217880,"Northwestern School District, Pennsylvania",12027,215,351,85
9700000US4217940,4217940,"Norwin School District, Pennsylvania",35650,214,317,128
9700000US4218030,4218030,"Octorara Area School District, Pennsylvania",17640,322,1063,345
9700000US4218090,4218090,"Oil City Area School District, Pennsylvania",15006,230,175,67
9700000US4218120,4218120,"Old Forge School District, Pennsylvania",8299,18,311,164
9700000US4218150,4218150,"Oley Valley School District, Pennsylvania",13347,255,211,132
9700000US4218210,4218210,"Oswayo Valley School District, Pennsylvania",3125,247,17,31
9700000US4218240,4218240,"Otto-Eldred School District, Pennsylvania",4089,255,22,22
9700000US4218270,4218270,"Owen J. Roberts School District, Pennsylvania",32968,230,701,255
9700000US4218300,4218300,"Oxford Area School District, Pennsylvania",25894,238,4032,664
9700000US4218330,4218330,"Palisades School District, Pennsylvania",14941,124,199,146
9700000US4218360,4218360,"Palmerton Area School District, Pennsylvania",14047,204,401,186
9700000US4218390,4218390,"Palmyra Area School District, Pennsylvania",22601,29,445,203
9700000US4218450,4218450,"Panther Valley School District, Pennsylvania",12649,213,569,196
9700000US4218510,4218510,"Parkland School District, Pennsylvania",56031,44,3123,552
9700000US4218570,4218570,"Pen Argyl Area School District, Pennsylvania",12444,23,262,144
9700000US4218580,4218580,"Penn-Delco School District, Pennsylvania",26944,130,664,253
9700000US4218590,4218590,"Penn Hills School District, Pennsylvania",42444,91,633,214
9700000US4218630,4218630,"Penn Manor School District, Pennsylvania",41562,87,2009,439
9700000US4218660,4218660,"Penn-Trafford School District, Pennsylvania",25683,394,74,53
9700000US4218740,4218740,"Penncrest School District, Pennsylvania",24553,353,268,92
9700000US4218750,4218750,"Pennridge School District, Pennsylvania",48822,295,1537,408
9700000US4218780,4218780,"Penns Manor Area School District, Pennsylvania",5753,250,38,34
9700000US4218810,4218810,"Penns Valley Area School District, Pennsylvania",12714,387,86,82
9700000US4218840,4218840,"Pennsbury School District, Pennsylvania",71015,209,2791,572
9700000US4218900,4218900,"Pequea Valley School District, Pennsylvania",21585,23,331,165
