GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01
Id,Id2,Geography,Total; Estimate; Population 16 years and over,Total; Margin of Error; Population 16 years and over,In labor force; Estimate; Population 16 years and over,In labor force; Margin of Error; Population 16 years and over,Employed; Estimate; Population 16 years and over,Employed; Margin of Error; Population 16 years and over,Unemployment rate; Estimate; Population 16 years and over,Unemployment rate; Margin of Error; Population 16 years and over
9700000US4205010,4205010,"Carlisle Area School District, Pennsylvania",29940,445,66.5,2.0,60.8,2.1,7.1,1.2
9700000US4205040,4205040,"Carlynton School District, Pennsylvania",11910,318,68.0,2.4,63.4,2.4,6.8,1.5
9700000US4205070,4205070,"Carmichaels Area School District, Pennsylvania",5437,225,57.1,5.0,52.1,4.6,8.8,3.3
9700000US4205160,4205160,"Catasauqua Area School District, Pennsylvania",8899,234,67.2,3.5,61.2,3.4,8.9,3.0
9700000US4205190,4205190,"Centennial School District, Pennsylvania",40331,448,63.7,1.4,57.9,1.5,9.0,1.3
9700000US4205310,4205310,"Central Bucks School District, Pennsylvania",89758,709,68.3,1.1,63.8,1.0,6.5,0.7
9700000US4205340,4205340,"Central Cambria School District, Pennsylvania",11351,207,57.9,2.7,55.0,2.7,4.5,1.6
9700000US4205370,4205370,"Central Columbia School District, Pennsylvania",12635,306,64.6,2.3,61.7,2.5,4.5,1.0
9700000US4205400,4205400,"Central Dauphin School District, Pennsylvania",73514,641,69.5,1.2,64.9,1.2,6.2,0.9
9700000US4205430,4205430,"Central Greene School District, Pennsylvania",13717,249,47.5,2.7,43.7,2.7,8.0,1.7
9700000US4205460,4205460,"Crestwood School District, Pennsylvania",16160,343,68.6,1.9,64.1,1.9,6.5,1.1
9700000US4205490,4205490,"Central York School District, Pennsylvania",30155,530,63.2,1.5,59.3,1.6,6.2,1.3
9700000US4205550,4205550,"Chambersburg Area School District, Pennsylvania",53477,475,60.9,1.3,56.1,1.4,7.7,1.1
9700000US4205640,4205640,"Charleroi School District, Pennsylvania",9805,214,57.5,2.9,52.2,3.0,9.4,2.2
9700000US4205700,4205700,"Chartiers Valley School District, Pennsylvania",26175,277,64.9,1.9,60.1,1.8,7.3,1.4
9700000US4205730,4205730,"Chartiers-Houston School District, Pennsylvania",7486,287,63.6,3.0,60.1,3.1,5.5,2.3
9700000US4205760,4205760,"Cheltenham Township School District, Pennsylvania",30159,405,69.2,1.7,63.4,1.9,8.2,1.2
9700000US4205860,4205860,"Chester-Upland School District, Pennsylvania",31928,546,55.6,1.7,45.2,1.5,18.6,1.7
9700000US4205880,4205880,"Chestnut Ridge School District, Pennsylvania",8743,335,64.5,1.9,59.0,1.9,8.6,1.5
9700000US4205910,4205910,"Chichester School District, Pennsylvania",19789,336,67.1,2.1,58.4,2.4,12.9,2.5
9700000US4206030,4206030,"Clairton City School District, Pennsylvania",5740,199,58.9,3.7,50.4,4.8,14.4,4.8
